Product Name,Designer,Description,Price,Image Path
Solo,"MARIO BELLINI
 I","In its reissue, Camaleonda preserves the elements that have made it a con-
temporary classic. By mutual agreement, Mario Bellini and B&B Italia have de-
cided to keep the cm 90x90 seat module, together with the backrest and the 
armrest, faithful to the original project, whose original cutting pattern was used 
for the new edition. The generous polyurethane padding that forms the charac-
teristic capitonn design remains unchanged, still manufactured with the inno-
vative system of cables, hooks and rings created by Bellini in 1970, which defi-
nes the characteristic look and modularity. Thanks to the tie-rods and the rings, 
in fact, the modules can be unhooked and recombined at will, allowing the sofa 
to adapt to an evolving taste and the dynamic needs of those using it. The fun-
damental characteristic of Camaleonda is its unlimited modularity, a geome-
tric pattern that allows each element to become a sort of enormous pixel throu-
gh which to define your home environment. By hooking and unhooking seats, 
backrests and armrests, you can enjoy the luxury of changing your mind as 
many times as you desire, moving and redesigning the space. A concept 
which is dear to Mario Bellini Of all the objects I have designed, Camaleonda 
is perhaps the best in terms of its sense of freedom. There are infinite number 
of possible configurations. The padding has been thoroughly updated by the 
B&B Italias Research & Development Centre, making it even more comfortable 
than the original version. Thus the magical balance between the rigorous geo-
metry of the square and the welcoming roundness of the padding is confirmed, 
further underlining the elasticity and tactile ergonomics that characterize many 
of Mario Bellinis design projects. Camaleonda can be covered with B&B Italias 
entire textile and leather collection, allowing for another variable in the multitude 
of possible combinations. Camaleonda is a dynamic, alive and sincere object, 
not at all enigmatic, that allows for an infinite number of configurations while still 
maintaining its peculiar and unique identity.
Enia 4Licata 1Feet Natural Beech
 
 
Camaleonda","$17,930",static/images\image_0_0.png
Otium Soft,"MARIO BELLINI
L","Layout Layout Sectional sofa 
Enia 400 (green), Feet Natural beech - 17,930 
 Sectional sofa 
Licata 102 (natural), Feet Natural beech - 19,4 
 
Bend","$19,490",static/images\image_0_1.png
Piccola Papilio,"PATRICIA URQUIOLA
  I","It seems shaped by an artist but actually derives from a study of 3D models 
and digital research. It seems a monolith that has been shaped by subtraction, 
rounded and moulded by the designer. 
The irregular shape enhances comfort, the contrasting seams define the design 
and movement. Bend-Sofa combines manual skills and technology, solidity and 
strength, along with considerable flexibility in terms of use ensured by the ex-
tensive range of models. 
Comes with 
BSB (x1) - Bend Armrest Support 
B40C (x1) - Bend Cushion 24 x 15 
B55C (x1) - Bend Cushion 24 x 21 
Edit 2Zigzac Stitching 
Black 10Layout 1 B177LS B214CS
Edit 253, Black stitching 12,0Layout 2 B177LD B214CD 
Edit 253, Black stitching 12,01 1 
 
 
Charles","$12,057",static/images\image_0_2.png
Serie UP 20,"ANTONIO CITTERIO
  T","The centerpiece of modern lifestyle, the Charles has 
become a hallmark in the world of design. The light fee-
ling especially conveyed by the essential design of the 
inverted L- shaped feet, along with a single seat-
-cushion and a series of free cushions placed on the ba-
ckrest is the distinctive feature of a sofa that has met with 
boundless success. 
The airy shape and simple profile make it, almost by con-
trast, extremely rich and innovative from a spatial stan-
dpoint, a system that encourages the creation of ever 
Comes with 
CH72C (x2) - Charles back cushions 28x19
CH48C (x1) - Charles back cushions 19x19
CH2Asolo 1Emily 1Bormio 2Feet Bright brushed 0189A
1 1 
 
 
Charles","$12,057",static/images\image_0_3.png
Husk Chair,"ANTONIO CITTERIO
A","Asolo 153, bright brushed feet
Limited Quantities","$8,171",static/images\image_0_4.png
Papilio Stool,"ANTONIO CITTERIO
  T","The centerpiece of modern lifestyle, the Charles has 
become a hallmark in the world of design. The light fee-
ling especially conveyed by the essential design of the 
inverted L- shaped feet, along with a single seat-
-cushion and a series of free cushions placed on the 
backrest is the distinctive feature of a sofa that has met 
with boundless success. 
The airy shape and simple profile make it, almost by 
contrast, extremely rich and innovative from a spatial 
standpoint, a system that encourages the creation of 
ever new compositions. 
Emily 1Edit 2Comes with 
CH72C (x3) - Charles back cushions 28x19
CH48C (x3) - Charles back cushions 19x19
Feet Bright brushed 0189A
Layout 1 CH228D CH228LS
Layout 2 CH228S CH228LD
1 1 
 
 
Charles","$9,450",static/images\image_0_5.png
Caratos Chair,"ANTONIO CITTERIO
S","Sectional sofa
Emily 150, bright brushed feet
Come with 2 extra optional cushions Lesina 150, Samara 270","$7,857",static/images\image_0_6.png
Caratos Stool,"ANTONIO CITTERIO
  A","A successful design strategy that achieves a balan-
ce of functional and aesthetic features, and entrusts 
the details to the right role the seating system Ray is 
designed for a long life. Modular, with two depths, with 
an extensive compositional range that includes linear 
and corner elements and chaise longue, it stands out 
for the tailoring detail of the blanket stitch that runs 
along the profiles of the cover, both self-coloured and 
in contrasting hues.
Comes with 
RY72C (x4) - Ray back cushions 28x19
RY48C (x3) - Ray back cushions 19x19
Esopo 1Stitching Pearl grey 10Feet Painted Black chromed
Layout 1 RY232LSN RYL249DN
Layout 2 RY232LDN RYL249SN 
2 Sectional sofa
Esopo 153, pearl grey stitching, 
Black chromed frame - 19,82 
 
 
Solo 14","$17,697",static/images\image_0_7.png
"BEDS
5 5 
 
Alys","ANTONIO CITTERIO
  T","The beautifully balanced construction of solo14 was obtained 
through the reduction of all superfluous elements and the careful 
proportion of its components. The die-cast aluminum structure su-
pports a deep seat, with a joint back which also acts as armrest, 
on which cushions sit freely. The raw edge faux leather profile hi-
ghlights the silhouette of the arm rest and seat, giving it a unique 
sartorial finish. It is available in four shades natural, dark brown, 
black and taupe, all of which can be paired with different color 
edges, thus creating contrasting or harmonious effects. The die-
-cast process is shown through the specific design of the support 
pieces, available in different finishes.
Comes with 
SN48C (x2) - Back cushions 
Ellade 2Profile Tortora color
Feet Bright brushed 0189A
Straight sofa
Limited Quantities
Ellade 251, Tortora profile, Bright 
brushed feet - 7,62 2 
 
 
Tufty-time","$16,784",static/images\image_0_8.png
"Bright brushed
5 5 
 
Charles","PATRICIA URQUIOLA
  T","Tufty-Time, a free and casual lifestyle. 
It was 2015 and Patricia Urquiola said 
I wanted to tare a new look at capitonne and Chesterfield styles, 
with a special reinterpretations of 1960s and 1970s, wich I love. 
Comes with 
T60C (x1) - Throw cushion 23 58x23 58
Edit 2Feet Black color
Layout T177BS3 T109BD 4 
Layout T177BD3 T109BS 4 
2 2 Sectional sofa
Edit 251 - 11,8 
 
 
Michel","$19,830",static/images\image_0_9.png
